kkk encanto este lugar.	1
La corteza no es buena.	0
No sabroso y la textura era simplemente desagradable.	0
Me detuve durante las vacaciones de fines de mayo a las recomendaciones de Rick Steve y me encanto.	1
La seleccion en el menu era genial, al igual que los precios.	1
Ahora me estoy enojando y quiero mi maldito telefono.	0
Honestamente no sabia tan fresco.	0
Las papas eran como caucho y se notaba que se habian preparado antes de tiempo y que se mantenian debajo de un calentador.	0
Las patatas fritas tambien eran geniales.	1
Un gran toque.	1
El servicio fue muy rapido.	1
No volveria	0
Al cajero no le importaba lo que fuera, y lo que tenia que decir era que todavia era demasiado caro.	0
Probe el ravoli de Cape Cod, pollo, con arandano, estaba muy bueno!	1
Estaba disgustado porque estaba bastante seguro de que era cabello humano.	0
Me sorprendio porque no hay signos que indiquen solo efectivo.	0
Muy recomendable.	1
La camarera fue un poco lento en el servicio.	0
Este lugar no vale la pena su tiempo, y mucho menos Vegas.	0
No me gusto en absoluto.	0
Los Burrittos Blah!	0
La comida, increible.	1
El servicio tambien es lindo.	1
Podria importarme menos ... El interior es simplemente hermoso.	1
Asi lo realizaron.	1
Asi es ... el pastel de terciopelo rojo ... ohhh, esto es muy bueno.	1
Nunca trajeron una ensalada que pedimos.	0
Este agujero en la pared tiene excelentes tacos mexicanos y un personal amable.	1
Tarde una hora en conseguir nuestra comida, solo 4 mesas en el restaurante, mi comida estaba tibia con Luke, nuestro servidor estaba corriendo como si estuviera totalmente abrumado.	0
Lo peor fue el sashimi de salmon.	0
Tambien hay combos como una hamburguesa, papas fritas y cerveza para 23, que es un trato decente.	1
¡Esto fue como el golpe final!	0
Encontre este lugar por accidente y no podria estar mas feliz.	1
parece un buen lugar rapido para comer algo de comida familiar de pub, pero hazte un favor y busca en otro lado.	0
En general, me gusta mucho este lugar.	1
La unica calidad redentora del restaurante fue que era muy barato.	1
Amplias raciones y buenos precios.	1
Mal servicio, el camarero me hizo sentir como una estupida cada vez que venia a la mesa.	0
¡Mi primera visita a Hiro fue una delicia!	1
El servicio apesta.	0
Los camarones tiernos y humedos.	1
No hay un trato lo suficientemente bueno que me arrastre de nuevo a ese establecimiento.	0
Es dificil juzgar si estos lados eran buenos porque el poliestireno derretido nos asalto y no queriamos comerlo por miedo a enfermarnos.	0
En una nota positiva, nuestro servidor fue muy atento y ofrece un gran servicio.	1
Pucks congelados de disgusto, con algunas de las peores personas detras del registro.	0
Lo unico que me gusto fue la costilla y la seccion de postres.	1
Es una pena que la comida sea tan generica.	0
La hamburguesa es buena carne, cocinada a la perfeccion.	1
Si quieres un sandwich solo ve a cualquier Firehouse !!!!!	1
Mi ensalada griega con el aderezo griego era muy sabrosa, y la pita y el hummus eran muy refrescantes.	1
Pedimos el pato raro y era rosado y tierno en el interior con una buena charla en el exterior.	1
el vino corriendo detras de nosotros cuando se dio cuenta de que mi esposo habia dejado sus gafas de sol sobre la mesa.	1
Su chow mein es tan bueno!	1
Tienen actitudes horribles hacia los clientes y hablan de ellos cuando los clientes no disfrutan de su comida.	0
La porcion era enorme!	1
Me encanto ... servidores amables, excelente comida, menu maravilloso e imaginativo.	1
El Heart Attack Grill en el centro de Las Vegas es una excusa absolutamente plana para un restaurante.	0
No mucho marisco y como 5 cuerdas de pasta en el fondo.	0
La ensalada tenia la cantidad justa de salsa para no sobrecargar la vieira, que estaba perfectamente preparada.	1
El platano rasgado no solo estaba rasgado, sino petrificado y sin sabor.	0
Al menos piensa en rellenar mi agua antes de que luche para hacerte un saludo durante 10 minutos.	0
Este lugar recibe estrellas para sus APETIZADORES !!!	1
Los cocteles son todos hechos a mano y deliciosos.	1
Sin duda volveremos aqui de nuevo.	1
Estamos muy contentos de haber encontrado este lugar.	1
Buena comida y servicio, raciones enormes y dan un descuento militar.	1
¡Siempre un buen momento en Dos Gringos!	1
Actualizacion ..... volvi por segunda vez y todavia era igual de increible	1
Conseguimos la comida y al parecer nunca han oido hablar de sal y la masa del pescado era masticable.	0
Una gran manera de terminar un gran.	1
El acuerdo incluyo 5 degustaciones y 2 bebidas, y Jeff fue mas alla de lo que esperabamos.	1
- Realmente, realmente buen arroz, todo el tiempo.	1
El servicio fue meh.	0
Tomo mas de 30 minutos conseguir su batido, que no era mas que leche de chocolate.	0
Supongo que deberia haber sabido que este lugar apestaria, porque esta dentro del Excalibur, pero no use mi sentido comun.	0
El plato de vieira es bastante atroz por su valor tambien.	0
2 veces - Muy mal servicio al cliente!	0
Las batatas fritas eran muy buenas y bien condimentadas.	1
Hoy es la segunda vez que he estado en su buffet de almuerzo y fue bastante bueno.	1
Hay tanta comida buena en Las Vegas que me siento engañado por perder una oportunidad de comer yendo a Rice and Company.	0
Venir aqui es como experimentar una relacion decepcionante en la que ambas partes no pueden esperar a que la otra persona le pida que rompa.	0
Entre y el lugar olia como una vieja trampa de grasa y solo otros 2 comian alli.	0
El pavo y la carne asada eran sosos.	0
Este lugar lo tiene!	1
Todos los comensales estan entusiasmados con el sabor como un azucarado desastre adaptado al paladar de un niño de seis años.	0
Me encanta el Pho y los rollitos de primavera, oh, que delicioso que tienes que probar.	1
La pobre proporcion de masa por carne hizo que las ofertas de pollo fueran muy insatisfactorias.	0
Todo lo que tengo que decir es que la comida era increible!	1
Las tortillas son para morirse!	1
¡Todo era fresco y delicioso!	1
En resumen, esta fue una experiencia gastronomica en gran medida decepcionante.	0
Es como una fiesta realmente sexy en tu boca, donde estas coqueteando con la mejor persona de la fiesta.	1
